gene_id,importance
LOC111102468,0.0027213830931892813
LOC111136760,0.002598782795470953
LOC111123317,0.002541930620739691
LOC111134271,0.002436726976506719
LOC111115470,0.0022800359232194554
LOC111132912,0.0022372637295124875
LOC111107633,0.002046034161158059
LOC111125866,0.0020280059882972603
LOC111123769,0.002012522675816679
LOC111111541,0.0019836416764871714
LOC111102859,0.0019720589913473073
LOC111111017,0.0019288652189845138
LOC111125614,0.0018555936360558217
LOC111132349,0.001825941903940178
LOC111120326,0.0018055032376089316
LOC111128237,0.001803656000666386
LOC111105142,0.001757823950523151
LOC111135856,0.001756927867151012
LOC111125575,0.0017540140358471923
LOC111105862,0.0016898141204467509
LOC111109762,0.001678936454849498
LOC111121436,0.001671310454185071
LOC111116364,0.001619399808144232
LOC111123177,0.001618860296079853
LOC111133313,0.0015713957759412294
LOC111135172,0.0015413566863724379
LOC111112691,0.0015233562166285278
LOC111135016,0.0015148371795734368
LOC111113117,0.0015062172568208953
LOC111137406,0.0014908358389350699
LOC111120726,0.0014875586293374786
LOC111136670,0.0014736030225932003
LOC111102490,0.0014651612718087226
LOC111136276,0.0014620121119523599
LOC111134307,0.0014614376240133552
LOC111107861,0.0014605672926447564
LOC111112942,0.0014498227276308537
LOC111136671,0.0014457684921462377
LOC111107236,0.0014279752898678714
LOC111105270,0.0014271341520665504
LOC111112216,0.0014199186957508775
LOC111127227,0.001413944540350106
LOC111105773,0.0014136954790030304
LOC111130748,0.0014089820126708644
LOC111121995,0.0013866717545224039
LOC111126069,0.0013862881304741758
LOC111110603,0.0013777458263439576
LOC111129308,0.001377078862675205
LOC111117714,0.0013744496487400435
LOC111116174,0.001374029335634168
LOC111117425,0.0013571274023743984
LOC111107341,0.0013548920765447455
LOC111134456,0.0013529727033156965
LOC111114170,0.0013415896197420598
LOC111119579,0.0013278341251829165
LOC111118409,0.0013234805522140114
LOC111138458,0.0013230464029303133
LOC111121098,0.0013228544107100173
LOC111134309,0.0013225095039601984
LOC111099937,0.0013207308947111901
LOC111136213,0.0013177710284436983
LOC111106081,0.0013067438788903806
LOC111121068,0.001306400543138709
LOC111112460,0.0013049315103507292
LOC111124868,0.0013040123456790104
LOC111128194,0.0012999386821376357
LOC111136223,0.0012983659621974835
LOC111122665,0.001297550619343664
LOC111125691,0.0012939649949672521
LOC111120280,0.0012901887119784303
LOC111119143,0.0012870536097410173
LOC111112706,0.001286516478748446
LOC111121966,0.0012856996260895294
LOC111132624,0.0012851919761317856
LOC111116953,0.0012829539906934215
LOC111107862,0.0012804691483936767
LOC111134032,0.0012775823151555748
LOC111119069,0.0012770952730572754
LOC111128052,0.001272083674155238
LOC111119708,0.0012654997481660866
LOC111102800,0.0012654473554127527
LOC111113982,0.0012614628358335455
LOC111104021,0.0012567074036223245
LOC111137115,0.0012539892166440383
LOC111137958,0.0012529477847460781
LOC111107154,0.0012492664341589065
LOC111117237,0.0012475965912976232
LOC111122980,0.0012467222331904936
LOC111122091,0.001243156094247437
LOC111123894,0.0012403745820225925
LOC111122901,0.0012388561715982
LOC111107675,0.0012353912145167093
LOC111117701,0.00123404813430389
LOC111115753,0.001233026509572902
LOC111111262,0.0012272318437851612
LOC111138220,0.001225187734592124
LOC111124796,0.0012247649572649567
LOC111127668,0.0012246171033559747
LOC111099115,0.0012193916527650026
LOC111122432,0.001218977310767779
